TAXON	12S.5June	ALDOB_Hackettetal2008	CLTC_Hackettetal2008	CMOS.26May	COI.26May	COII.Cl181.Final_18May2011	CRYAA_Hackettetal2008	CytB.Cl1.Final_18May2011	EEF2_Hackettetal2008	EGR1_Hackettetal2008	EGR1exon_Hackettetal2008	FGBint4_Hackettetal2008	FGBint5_Hackettetal2008	FGBint67_ALL	GH1_Hackettetal2008	HMGN2_Hackettetal2008	IRF2_Hackettetal2008	MB_Hackettetal2008	MUSK_Hackettetal2008	MYC_Hackettetal2008	ND2.Cl6.Final_18May2011	ND3.26May	ND4.26May	NGF_Hackettetal2008	NTF3_Hackettetal2008	ODC_Ericson_etal	PCBD1_Hackettetal2008	RAG1.Final_18May2011	RAG2.26May	RHO_Hackettetal2008	TGFB2_Hackettetal2008	TPM1_Hackettetal2008	
Gruidae_Grus_japonensis	41350597			41352608				927679						95020600																			
Spheniscidae_Eudyptes_pachyrhynchus	575312			1857840	169882428			75354602																				75863923					
Thamnophilidae_Skutchia_borbae																					238734377												
Accipitridae_Polemaetus_bellicosus								56709415						66736025							66734936							126212493					
Campephagidae_Pericrocotus_cinnamomeus					170674759													125487307								161015821							
Columbidae_Zenaida_asiatica					116832915			11967340						12231550							11967362												
Pardalotidae_Gerygone_palpebrosa																					294471180												
Ramphastidae_Aulacorhynchus_sulcatus								162946070													162946308	162946186											
Thamnophilidae_Myrmeciza_pelzelni								157098252					157098120								157094391	157098386						221063199	221062979				
Corvidae_Oriolus_oriolus				125487360	225301478													34538589			125487168	289188000				196052671		34501064					
Pardalotidae_Pardalotus_rubricatus																					294471182												
Certhiidae_Thryomanes_bewickii					294514324			62861412				33638039									39547742												
Sylviidae_Sylvia_crassirostris					292389608			38602358																									
Fringillidae_Spiza_americana	21644765				116832751	21645047		156072904													21644859												
Phoenicopteridae_Phoenicopterus_ruber				15723233	50254225	50254141		33621777						56131071							33622195	3978355	50254337										
Sturnidae_Streptocitta_albicollis					151336270	151336528							149729114	151336112							149729266									151336756			
Tyrannidae_Empidonax_occidentalis					116832201			23598205													23598259	23598313											
Pycnonotidae_Criniger_pallidus	18251077			258674269		258674291							156753284	264669180				66876381			258674229	264669318				324034105					264669045		
Pipridae_Lepidothrix_coronata		193879562	193880168	18845773	118738543		193879248	156857586		29422748	193881426	193999598	193999946	194000356	154529333		193881814	194021058	193882090	194241150	62634210	62737825		194021385	194205302	165873904	193880478	18845919	38324951	194240826	193878661	193878952	
Passeridae_Amandava_formosa																					37674976												
Platysteiridae_Platysteira_blissettii																					165941545												
Pardalotidae_Sericornis_citreogularis					290464546			726211													294471114								289584014				
Mimidae_Nesomimus_macdonaldi						74272067															35396631												
Meliphagidae_Phylidonyris_novaehollandiae	45385369							45385633					259018612								45385485												
Sturnidae_Spreo_albicapillus					151336228	151336465							149729093	151336091							149729224									151336716	151335923		
Passeridae_Estrilda_melanotis																					37674914												
Procellariidae_Fregetta_tropica	575313							3420628																									
Psittacidae_Neophema_elegans	37359595							33621754													33622155	3978265								187765565	194246206	187949988	
Sylviidae_Sylvietta_virens	23297907																				23297859												
Fringillidae_Ammodramus_nelsoni					302140832			91992549													91992589												
Petroicidae_Heteromyias_albispecularis								726209													260176906												
Meliphagidae_Lichenostomus_hindwoodi													326378192								327321783												
Columbidae_Chalcophaps_stephani	148466950				148467061	148467231		41393898						41393854							148466987							148467405					
Apodidae_Aerodramus_papuensis								63409194													63409260												
Psittacidae_Brotogeris_pyrrhopterus								33340887													257786413												
Monarchidae_Myiagra_cyanoleuca								11139387																									
Alcedinidae_Halcyon_leucocephala																					66774557	62901777											
Laridae_Sterna_albostriata								55419837													55417563												
Sylviidae_Seicercus_soror	54632220							54632863																									
Accipitridae_Gyps_himalayensis								115492900													115492938							187439080					
Pardalotidae_Acanthiza_nana					290464574			7229358													294471143								289584042				
Fringillidae_Schistochlamys_ruficapillus								194499803																									
Cotingidae_Carpodectes_hopkei								94471822										94451605										241994071	241994431				
Fringillidae_Lanio_aurantius								156072772													156072548												
Anatidae_Anas_rhynchotis								3088723													3088843												
Furnariidae_Synallaxis_albescens					197256955			21540000													31281415							221063033	221062837				
Fringillidae_Icterus_chrysocephalus																			297382506		6090634												
Alaudidae_Certhilauda_kaokensis								4104205																									
Procellariidae_Puffinus_nicolae								37788721																									
Charadriidae_Charadrius_ruficapillus								2052327																									
Jacanidae_Jacana_jacana	1718360	193879486	193880100		88910980	88911116	193879180	88911082		193881035	193881346	193999526	193999876	194000281	154529155		193881776	194020980	193882018	194241070	187480033	88910844	88910912	194021305	194205224	113120353	193880400	34597807		194240756	193878582		
Strigidae_Otus_sanctaecatarinae								22797044																									
Anatidae_Dendrocygna_viduata					197255253			190683548													190683674												
Tyrannidae_Tyrannus_melancholicus					116878081	33243864		83031384					83031603	45272238				46559871			83031472	83031296											
